year,player_id,name,country,position,primary_club,clubs,club_spans,tracked_months,top10_months,best_global_rank,peak_value_million_eur,latest_value_million_eur,latest_month
2011,50202,Eden Hazard,Belgium,Attack,LOSC Lille,LOSC Lille,Jan-Dec: LOSC Lille,12,0,53,26.5,26.5,2011-12
2012,50202,Eden Hazard,Belgium,Attack,Chelsea FC,LOSC Lille | Chelsea FC,Jan-Jun: LOSC Lille | Jul-Dec: Chelsea FC,12,0,11,40,40,2012-12
2013,50202,Eden Hazard,Belgium,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,16,42,42,2013-12
2014,50202,Eden Hazard,Belgium,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,0,11,48,48,2014-12
2015,50202,Eden Hazard,Belgium,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,11,6,70,70,2015-12
2016,50202,Eden Hazard,Belgium,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,5,7,70,65,2016-12
2017,50202,Eden Hazard,Belgium,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,10,8,75,75,2017-12
2018,50202,Eden Hazard,Belgium,Attack,Chelsea FC,Chelsea FC,Jan-Dec: Chelsea FC,12,12,5,150,150,2018-12
2019,50202,Eden Hazard,Belgium,Attack,Chelsea FC,Chelsea FC | Real Madrid,Jan-Nov: Chelsea FC | Dec: Real Madrid,12,12,3,150,120,2019-12
2020,50202,Eden Hazard,Belgium,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,2,10,120,60,2020-12
2021,50202,Eden Hazard,Belgium,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,78,50,18,2021-12
2022,50202,Eden Hazard,Belgium,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,468,18,7.5,2022-12
2023,50202,Eden Hazard,Belgium,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,1200,7.5,5,2023-12
2024,50202,Eden Hazard,Belgium,Attack,Real Madrid,Real Madrid,Jan-Nov: Real Madrid,11,0,1737,5,5,2024-11
2008,58358,Thomas Müller,Germany,Attack,FC Bayern Munich II,FC Bayern Munich II,Aug-Dec: FC Bayern Munich II,5,0,3921,0.25,0.25,2008-12
2009,58358,Thomas Müller,Germany,Attack,FC Bayern Munich II,FC Bayern Munich II | Bayern Munich,Jan-Jul: FC Bayern Munich II | Aug-Dec: Bayern Munich,12,0,724,5,5,2009-12
2010,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,62,23,23,2010-12
2011,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,27,33,33,2011-12
2012,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,21,35,32,2012-12
2013,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,14,45,45,2013-12
2014,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,13,50,50,2014-12
2015,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,8,7,75,75,2015-12
2016,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,12,6,75,75,2016-12
2017,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,1,10,75,45,2017-12
2018,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,64,60,40,2018-12
2019,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,156,40,32,2019-12
2020,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,178,35,35,2020-12
2021,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,189,35,25,2021-12
2022,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,310,25,18,2022-12
2023,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,524,18,10,2023-12
2024,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,1062,10,6,2024-12
2025,58358,Thomas Müller,Germany,Attack,Bayern Munich,Bayern Munich | Vancouver Whitecaps FC,Jan-Nov: Bayern Munich | Dec: Vancouver Whitecaps FC,12,0,1364,6,5,2025-12
2026,58358,Thomas Müller,Germany,Attack,Vancouver Whitecaps FC,Vancouver Whitecaps FC,Jan-Jun: Vancouver Whitecaps FC,6,0,1355,5,5,2026-06
2012,122153,Paul Pogba,France,Midfield,Manchester United Reserves,Manchester United Reserves | Juventus FC,Apr-Oct: Manchester United Reserves | Nov-Dec: Juventus FC,9,0,702,6,6,2012-12
2013,122153,Paul Pogba,France,Midfield,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,80,25,25,2013-12
2014,122153,Paul Pogba,France,Midfield,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,15,45,45,2014-12
2015,122153,Paul Pogba,France,Midfield,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,3,10,55,55,2015-12
2016,122153,Paul Pogba,France,Midfield,Juventus FC,Juventus FC | Manchester United,Jan-Sep: Juventus FC | Oct-Dec: Manchester United,12,9,7,80,80,2016-12
2017,122153,Paul Pogba,France,Midfield,Manchester United,Manchester United,Jan-Dec: Manchester United,12,9,7,80,75,2017-12
2018,122153,Paul Pogba,France,Midfield,Manchester United,Manchester United,Jan-Dec: Manchester United,12,2,9,90,80,2018-12
2019,122153,Paul Pogba,France,Midfield,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,18,100,100,2019-12
2020,122153,Paul Pogba,France,Midfield,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,17,100,65,2020-12
2021,122153,Paul Pogba,France,Midfield,Manchester United,Manchester United,Jan-Dec: Manchester United,12,0,43,65,55,2021-12
2022,122153,Paul Pogba,France,Midfield,Manchester United,Manchester United | Juventus FC,Jan-Oct: Manchester United | Nov-Dec: Juventus FC,12,0,71,55,35,2022-12
2023,122153,Paul Pogba,France,Midfield,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,189,35,15,2023-12
2024,122153,Paul Pogba,France,Midfield,Juventus FC,Juventus FC,Jan-Nov: Juventus FC,11,0,726,15,15,2024-11
2026,122153,Paul Pogba,France,Midfield,Association sportive de Monaco Football Club,Association sportive de Monaco Football Club,Jun: Association sportive de Monaco Football Club,1,0,805,15,15,2026-06
2006,40433,Alexis Sánchez,Chile,Attack,CSD Colo-Colo,CSD Colo-Colo,Dec: CSD Colo-Colo,1,0,2263,0.05,0.05,2006-12
2007,40433,Alexis Sánchez,Chile,Attack,CSD Colo-Colo,CSD Colo-Colo | CA River Plate,Jan-Aug: CSD Colo-Colo | Sep-Dec: CA River Plate,12,0,817,2.75,2.75,2007-12
2008,40433,Alexis Sánchez,Chile,Attack,CA River Plate,CA River Plate | Udinese Calcio,Jan-Jun: CA River Plate | Jul-Dec: Udinese Calcio,12,0,788,3.8,3.8,2008-12
2009,40433,Alexis Sánchez,Chile,Attack,Udinese Calcio,Udinese Calcio,Jan-Dec: Udinese Calcio,12,0,480,6.5,6.5,2009-12
2010,40433,Alexis Sánchez,Chile,Attack,Udinese Calcio,Udinese Calcio,Jan-Dec: Udinese Calcio,12,0,325,9.5,9.5,2010-12
2011,40433,Alexis Sánchez,Chile,Attack,FC Barcelona,Udinese Calcio | FC Barcelona,Jan-Jun: Udinese Calcio | Jul-Dec: FC Barcelona,12,0,48,26,26,2011-12
2012,40433,Alexis Sánchez,Chile,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,22,38,38,2012-12
2013,40433,Alexis Sánchez,Chile,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,51,28,26,2013-12
2014,40433,Alexis Sánchez,Chile,Attack,FC Barcelona,FC Barcelona | Arsenal FC,Jan-Jul: FC Barcelona | Aug-Dec: Arsenal FC,12,0,34,38,38,2014-12
2015,40433,Alexis Sánchez,Chile,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,3,9,55,55,2015-12
2016,40433,Alexis Sánchez,Chile,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,12,55,55,2016-12
2017,40433,Alexis Sánchez,Chile,Attack,Arsenal FC,Arsenal FC,Jan-Dec: Arsenal FC,12,0,11,65,65,2017-12
2018,40433,Alexis Sánchez,Chile,Attack,Manchester United,Arsenal FC | Manchester United,Jan-Apr: Arsenal FC | May-Dec: Manchester United,12,0,26,70,45,2018-12
2019,40433,Alexis Sánchez,Chile,Attack,Manchester United,Manchester United | Inter Milan,Jan-Nov: Manchester United | Dec: Inter Milan,12,0,103,45,25,2019-12
2020,40433,Alexis Sánchez,Chile,Attack,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,0,315,25,10,2020-12
2021,40433,Alexis Sánchez,Chile,Attack,Inter Milan,Inter Milan,Jan-Dec: Inter Milan,12,0,834,10,3.5,2021-12
2022,40433,Alexis Sánchez,Chile,Attack,Inter Milan,Inter Milan | Olympique Marseille,Jan-Oct: Inter Milan | Nov-Dec: Olympique Marseille,12,0,1754,4.5,4.5,2022-12
2023,40433,Alexis Sánchez,Chile,Attack,Olympique Marseille,Olympique Marseille | Inter Milan,Jan-Nov: Olympique Marseille | Dec: Inter Milan,12,0,1755,4.5,2.5,2023-12
2024,40433,Alexis Sánchez,Chile,Attack,Inter Milan,Inter Milan | Udinese Calcio,Jan-Nov: Inter Milan | Dec: Udinese Calcio,12,0,2850,2.5,2,2024-12
2025,40433,Alexis Sánchez,Chile,Attack,Udinese Calcio,Udinese Calcio | Sevilla FC,Jan-Nov: Udinese Calcio | Dec: Sevilla FC,12,0,2629,2,1.4,2025-12
2026,40433,Alexis Sánchez,Chile,Attack,Sevilla FC,Sevilla FC | Sevilla Fútbol Club S.A.D.,Jan-May: Sevilla FC | Jun: Sevilla Fútbol Club S.A.D.,6,0,2618,1.4,1.4,2026-06
2008,88755,Kevin De Bruyne,Belgium,Midfield,KRC Genk,KRC Genk,Oct-Dec: KRC Genk,3,0,4731,0.1,0.1,2008-12
2009,88755,Kevin De Bruyne,Belgium,Midfield,KRC Genk,KRC Genk,Jan-Dec: KRC Genk,12,0,3614,0.65,0.65,2009-12
2010,88755,Kevin De Bruyne,Belgium,Midfield,KRC Genk,KRC Genk,Jan-Dec: KRC Genk,12,0,778,5,5,2010-12
2011,88755,Kevin De Bruyne,Belgium,Midfield,KRC Genk,KRC Genk,Jan-Dec: KRC Genk,12,0,527,7,7,2011-12
2012,88755,Kevin De Bruyne,Belgium,Midfield,KRC Genk,KRC Genk,Jan-Dec: KRC Genk,12,0,358,9,9,2012-12
2013,88755,Kevin De Bruyne,Belgium,Midfield,Chelsea FC,SV Werder Bremen | Chelsea FC,Jan-Jun: SV Werder Bremen | Jul-Dec: Chelsea FC,12,0,175,17,17,2013-12
2014,88755,Kevin De Bruyne,Belgium,Midfield,VfL Wolfsburg,Chelsea FC | VfL Wolfsburg,Jan: Chelsea FC | Feb-Dec: VfL Wolfsburg,12,0,133,20,20,2014-12
2015,88755,Kevin De Bruyne,Belgium,Midfield,VfL Wolfsburg,VfL Wolfsburg | Manchester City,Jan-Sep: VfL Wolfsburg | Oct-Dec: Manchester City,12,3,10,60,60,2015-12
2016,88755,Kevin De Bruyne,Belgium,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,1,10,60,60,2016-12
2017,88755,Kevin De Bruyne,Belgium,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,11,75,75,2017-12
2018,88755,Kevin De Bruyne,Belgium,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,4,150,150,2018-12
2019,88755,Kevin De Bruyne,Belgium,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,5,150,150,2019-12
2020,88755,Kevin De Bruyne,Belgium,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,4,150,120,2020-12
2021,88755,Kevin De Bruyne,Belgium,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,12,4,120,90,2021-12
2022,88755,Kevin De Bruyne,Belgium,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,8,7,90,80,2022-12
2023,88755,Kevin De Bruyne,Belgium,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,19,80,60,2023-12
2024,88755,Kevin De Bruyne,Belgium,Midfield,Manchester City,Manchester City,Jan-Dec: Manchester City,12,0,68,60,35,2024-12
2025,88755,Kevin De Bruyne,Belgium,Midfield,Manchester City,Manchester City | SSC Napoli,Jan-Nov: Manchester City | Dec: SSC Napoli,12,0,223,35,15,2025-12
2026,88755,Kevin De Bruyne,Belgium,Midfield,SSC Napoli,SSC Napoli | Società Sportiva Calcio Napoli,Jan-May: SSC Napoli | Jun: Società Sportiva Calcio Napoli,6,0,589,15,15,2026-06
2008,38253,Robert Lewandowski,Poland,Attack,Znicz Pruszkow,Znicz Pruszkow | Lech Poznan,Mar-Aug: Znicz Pruszkow | Sep-Dec: Lech Poznan,10,0,1664,1.65,1.65,2008-12
2009,38253,Robert Lewandowski,Poland,Attack,Lech Poznan,Lech Poznan,Jan-Dec: Lech Poznan,12,0,1183,3,3,2009-12
2010,38253,Robert Lewandowski,Poland,Attack,Borussia Dortmund,Lech Poznan | Borussia Dortmund,Jan-Jun: Lech Poznan | Jul-Dec: Borussia Dortmund,12,0,632,6,6,2010-12
2011,38253,Robert Lewandowski,Poland,Attack,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,543,7,7,2011-12
2012,38253,Robert Lewandowski,Poland,Attack,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,75,25,25,2012-12
2013,38253,Robert Lewandowski,Poland,Attack,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,24,39,39,2013-12
2014,38253,Robert Lewandowski,Poland,Attack,Bayern Munich,Borussia Dortmund | Bayern Munich,Jan-Jun: Borussia Dortmund | Jul-Dec: Bayern Munich,12,0,12,50,50,2014-12
2015,38253,Robert Lewandowski,Poland,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,3,9,70,70,2015-12
2016,38253,Robert Lewandowski,Poland,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,12,6,75,75,2016-12
2017,38253,Robert Lewandowski,Poland,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,12,7,80,80,2017-12
2018,38253,Robert Lewandowski,Poland,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,12,90,70,2018-12
2019,38253,Robert Lewandowski,Poland,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,48,70,70,2019-12
2020,38253,Robert Lewandowski,Poland,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,56,70,60,2020-12
2021,38253,Robert Lewandowski,Poland,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,61,60,50,2021-12
2022,38253,Robert Lewandowski,Poland,Attack,Bayern Munich,Bayern Munich | FC Barcelona,Jan-Oct: Bayern Munich | Nov-Dec: FC Barcelona,12,0,93,50,45,2022-12
2023,38253,Robert Lewandowski,Poland,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,117,45,20,2023-12
2024,38253,Robert Lewandowski,Poland,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,503,20,15,2024-12
2025,38253,Robert Lewandowski,Poland,Attack,FC Barcelona,FC Barcelona,Jan-Nov: FC Barcelona,11,0,735,15,15,2025-11
2026,38253,Robert Lewandowski,Poland,Attack,Futbol Club Barcelona,Futbol Club Barcelona,Jun: Futbol Club Barcelona,1,0,812,15,15,2026-06
2009,125781,Antoine Griezmann,France,Attack,Real Sociedad,Real Sociedad,Sep-Dec: Real Sociedad,4,0,2592,1,1,2009-12
2010,125781,Antoine Griezmann,France,Attack,Real Sociedad,Real Sociedad,Jan-Dec: Real Sociedad,12,0,403,8,8,2010-12
2011,125781,Antoine Griezmann,France,Attack,Real Sociedad,Real Sociedad,Jan-Dec: Real Sociedad,12,0,413,8,8,2011-12
2012,125781,Antoine Griezmann,France,Attack,Real Sociedad,Real Sociedad,Jan-Dec: Real Sociedad,12,0,252,12,12,2012-12
2013,125781,Antoine Griezmann,France,Attack,Real Sociedad,Real Sociedad,Jan-Dec: Real Sociedad,12,0,108,20,20,2013-12
2014,125781,Antoine Griezmann,France,Attack,Real Sociedad,Real Sociedad | Atlético de Madrid,Jan-Jul: Real Sociedad | Aug-Dec: Atlético de Madrid,12,0,52,30,30,2014-12
2015,125781,Antoine Griezmann,France,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,0,15,50,50,2015-12
2016,125781,Antoine Griezmann,France,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,7,6,80,80,2016-12
2017,125781,Antoine Griezmann,France,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,12,5,80,80,2017-12
2018,125781,Antoine Griezmann,France,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,12,4,150,150,2018-12
2019,125781,Antoine Griezmann,France,Attack,Atlético de Madrid,Atlético de Madrid | FC Barcelona,Jan-Nov: Atlético de Madrid | Dec: FC Barcelona,12,12,4,150,120,2019-12
2020,125781,Antoine Griezmann,France,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,3,9,120,80,2020-12
2021,125781,Antoine Griezmann,France,Attack,FC Barcelona,FC Barcelona | Atlético de Madrid,Jan-Sep: FC Barcelona | Oct-Dec: Atlético de Madrid,12,0,45,60,50,2021-12
2022,125781,Antoine Griezmann,France,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,0,75,50,25,2022-12
2023,125781,Antoine Griezmann,France,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,0,282,25,25,2023-12
2024,125781,Antoine Griezmann,France,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,0,319,25,22,2024-12
2025,125781,Antoine Griezmann,France,Attack,Atlético de Madrid,Atlético de Madrid,Jan-Dec: Atlético de Madrid,12,0,445,22,11,2025-12
2026,125781,Antoine Griezmann,France,Attack,Atlético de Madrid,Atlético de Madrid | Club Atlético de Madrid S.A.D.,Jan-May: Atlético de Madrid | Jun: Club Atlético de Madrid S.A.D.,6,0,745,11,11,2026-06
2006,39153,Gonzalo Higuaín,Argentina,Attack,CA River Plate,CA River Plate,Oct-Dec: CA River Plate,3,0,80,12,12,2006-12
2007,39153,Gonzalo Higuaín,Argentina,Attack,Real Madrid,CA River Plate | Real Madrid,Jan-May: CA River Plate | Jun-Dec: Real Madrid,12,0,72,15,15,2007-12
2008,39153,Gonzalo Higuaín,Argentina,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,73,18,18,2008-12
2009,39153,Gonzalo Higuaín,Argentina,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,46,25,25,2009-12
2010,39153,Gonzalo Higuaín,Argentina,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,15,38,38,2010-12
2011,39153,Gonzalo Higuaín,Argentina,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,14,38,30,2011-12
2012,39153,Gonzalo Higuaín,Argentina,Attack,Real Madrid,Real Madrid,Jan-Dec: Real Madrid,12,0,20,38,38,2012-12
2013,39153,Gonzalo Higuaín,Argentina,Attack,Real Madrid,Real Madrid | SSC Napoli,Jan-Jul: Real Madrid | Aug-Dec: SSC Napoli,12,0,24,38,33,2013-12
2014,39153,Gonzalo Higuaín,Argentina,Attack,SSC Napoli,SSC Napoli,Jan-Dec: SSC Napoli,12,0,28,40,40,2014-12
2015,39153,Gonzalo Higuaín,Argentina,Attack,SSC Napoli,SSC Napoli,Jan-Dec: SSC Napoli,12,0,24,47,47,2015-12
2016,39153,Gonzalo Higuaín,Argentina,Attack,SSC Napoli,SSC Napoli | Juventus FC,Jan-Sep: SSC Napoli | Oct-Dec: Juventus FC,12,3,8,75,75,2016-12
2017,39153,Gonzalo Higuaín,Argentina,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,9,8,75,70,2017-12
2018,39153,Gonzalo Higuaín,Argentina,Attack,Juventus FC,Juventus FC | AC Milan,Jan-Nov: Juventus FC | Dec: AC Milan,12,0,29,70,50,2018-12
2019,39153,Gonzalo Higuaín,Argentina,Attack,Chelsea FC,AC Milan | Chelsea FC | Juventus FC,Jan-Feb: AC Milan | Mar-Nov: Chelsea FC | Dec: Juventus FC,12,0,91,50,32,2019-12
2020,39153,Gonzalo Higuaín,Argentina,Attack,Juventus FC,Juventus FC | Inter Miami CF,Jan-Nov: Juventus FC | Dec: Inter Miami CF,12,0,240,32,10,2020-12
2021,39153,Gonzalo Higuaín,Argentina,Attack,Inter Miami CF,Inter Miami CF,Jan-Nov: Inter Miami CF,11,0,865,10,3.5,2021-11
2015,342229,Kylian Mbappé,France,Attack,AS Monaco U19,AS Monaco U19,Dec: AS Monaco U19,1,0,13041,0.05,0.05,2015-12
2016,342229,Kylian Mbappé,France,Attack,AS Monaco,AS Monaco U19 | AS Monaco,Jan: AS Monaco U19 | Feb-Dec: AS Monaco,12,0,1324,4,4,2016-12
2017,342229,Kylian Mbappé,France,Attack,AS Monaco,AS Monaco | Paris Saint-Germain,Jan-Sep: AS Monaco | Oct-Dec: Paris Saint-Germain,12,3,4,90,90,2017-12
2018,342229,Kylian Mbappé,France,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,1,200,200,2018-12
2019,342229,Kylian Mbappé,France,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,1,200,200,2019-12
2020,342229,Kylian Mbappé,France,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,1,200,180,2020-12
2021,342229,Kylian Mbappé,France,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,1,180,160,2021-12
2022,342229,Kylian Mbappé,France,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,1,180,180,2022-12
2023,342229,Kylian Mbappé,France,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,1,180,180,2023-12
2024,342229,Kylian Mbappé,France,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Dec: Paris Saint-Germain,12,12,3,180,180,2024-12
2025,342229,Kylian Mbappé,France,Attack,Paris Saint-Germain,Paris Saint-Germain,Jan-Nov: Paris Saint-Germain,11,11,3,180,180,2025-11
2026,342229,Kylian Mbappé,France,Attack,Real Madrid Club de Fútbol,Real Madrid Club de Fútbol,Jun: Real Madrid Club de Fútbol,1,1,2,180,180,2026-06
2012,132098,Harry Kane,England,Attack,Norwich City,Norwich City,Nov-Dec: Norwich City,2,0,5841,0.5,0.5,2012-12
2013,132098,Harry Kane,England,Attack,Norwich City,Norwich City,Jan-Dec: Norwich City,12,0,5971,0.5,0.5,2013-12
2014,132098,Harry Kane,England,Attack,Norwich City,Norwich City | Tottenham Hotspur,Jan-Jun: Norwich City | Aug-Dec: Tottenham Hotspur,11,0,1520,3,3,2014-12
2015,132098,Harry Kane,England,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,93,25,25,2015-12
2016,132098,Harry Kane,England,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,0,34,40,40,2016-12
2017,132098,Harry Kane,England,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,3,8,80,80,2017-12
2018,132098,Harry Kane,England,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,12,3,150,150,2018-12
2019,132098,Harry Kane,England,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,12,4,150,150,2019-12
2020,132098,Harry Kane,England,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,12,3,150,120,2020-12
2021,132098,Harry Kane,England,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,12,2,120,100,2021-12
2022,132098,Harry Kane,England,Attack,Tottenham Hotspur,Tottenham Hotspur,Jan-Dec: Tottenham Hotspur,12,10,3,100,90,2022-12
2023,132098,Harry Kane,England,Attack,Tottenham Hotspur,Tottenham Hotspur | Bayern Munich,Jan-Sep: Tottenham Hotspur | Oct-Dec: Bayern Munich,12,3,7,110,110,2023-12
2024,132098,Harry Kane,England,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,4,7,110,90,2024-12
2025,132098,Harry Kane,England,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,0,18,90,65,2025-12
2026,132098,Harry Kane,England,Attack,Bayern Munich,Bayern Munich | FC Bayern München,Jan-May: Bayern Munich | Jun: FC Bayern München,6,0,49,65,65,2026-06
2011,206050,Paulo Dybala,Argentina,Attack,Instituto ACC,Instituto ACC,Dec: Instituto ACC,1,0,2127,2,2,2011-12
2012,206050,Paulo Dybala,Argentina,Attack,Instituto ACC,Instituto ACC | US Palermo,Jan-Jun: Instituto ACC | Jul-Dec: US Palermo,12,0,557,7,7,2012-12
2013,206050,Paulo Dybala,Argentina,Attack,US Palermo,US Palermo,Jan-Dec: US Palermo,12,0,486,8,7.5,2013-12
2014,206050,Paulo Dybala,Argentina,Attack,US Palermo,US Palermo,Jan-Dec: US Palermo,12,0,684,6.5,6.5,2014-12
2015,206050,Paulo Dybala,Argentina,Attack,Juventus FC,US Palermo | Juventus FC,Jan-Jun: US Palermo | Jul-Dec: Juventus FC,12,0,74,28,28,2015-12
2016,206050,Paulo Dybala,Argentina,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,29,45,45,2016-12
2017,206050,Paulo Dybala,Argentina,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,1,6,85,85,2017-12
2018,206050,Paulo Dybala,Argentina,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,8,8,110,110,2018-12
2019,206050,Paulo Dybala,Argentina,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,11,110,85,2019-12
2020,206050,Paulo Dybala,Argentina,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,22,90,70,2020-12
2021,206050,Paulo Dybala,Argentina,Attack,Juventus FC,Juventus FC,Jan-Dec: Juventus FC,12,0,36,70,50,2021-12
2022,206050,Paulo Dybala,Argentina,Attack,Juventus FC,Juventus FC | AS Roma,Jan-Oct: Juventus FC | Nov-Dec: AS Roma,12,0,91,50,30,2022-12
