year,name,code,flag,region,currency,value,rank,color,source
2009,Estonia,EST,🇪🇪,Europe,EEK,11.2574,10,#A855F7,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Sweden,SWE,🇸🇪,Europe,SEK,7.653819,11,#FDE047,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Norway,NOR,🇳🇴,Europe,NOK,6.288333,12,#F87171,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Denmark,DNK,🇩🇰,Europe,DKK,5.360867,13,#14B8A6,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Israel,ISR,🇮🇱,Middle East,ILS,3.932335,14,#6366F1,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Poland,POL,🇵🇱,Europe,PLN,3.120142,15,#E11D48,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Lithuania,LTU,🇱🇹,Europe,LTL,2.484033,16,#F59E0B,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,New Zealand,NZL,🇳🇿,Oceania,NZD,1.600877,17,#7DD3FC,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Turkiye,TUR,🇹🇷,Europe/Asia,TRY,1.549960,18,#A855F7,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Australia,AUS,🇦🇺,Oceania,AUD,1.282189,19,#38BDF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Canada,CAN,🇨🇦,Americas,CAD,1.141535,20,#60A5FA,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Switzerland,CHE,🇨🇭,Europe,CHF,1.088142,21,#F87171,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,United States,USA,🇺🇸,Americas,USD,1.000000,22,#22D3EE,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Austria,AUT,🇦🇹,Europe,EUR,0.716958,23,#F43F5E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Belgium,BEL,🇧🇪,Europe,EUR,0.716958,24,#F97316,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Finland,FIN,🇫🇮,Europe,EUR,0.716958,25,#84CC16,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,France,FRA,🇫🇷,Europe,EUR,0.716958,26,#3B82F6,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Germany,DEU,🇩🇪,Europe,EUR,0.716958,27,#EAB308,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2009,Greece,GRC,🇬🇷,Europe,EUR,0.716958,28,#06B6D4,"World Bank PA.NUS.FCRF, annual average official exchange rate"
